epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,25535,0.86854,0.60001,1.19922,0.95827,0.93989,0.96951,0.74499,0.92702,0.45825,1.13265,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,26340.2,0.85963,0.60012,1.19672,0.95902,0.93652,0.97015,0.74857,0.91481,0.44605,1.12372,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,27147.7,0.84775,0.58981,1.1881,0.95243,0.94455,0.97141,0.753,0.90432,0.43515,1.11777,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,27940.5,0.83305,0.57622,1.17906,0.96222,0.94485,0.97321,0.75607,0.89804,0.43255,1.11488,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,28731.7,0.81989,0.56224,1.17072,0.96662,0.94414,0.97222,0.76026,0.88761,0.42498,1.10748,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,29522.3,0.80893,0.55922,1.16598,0.96277,0.94693,0.97212,0.76541,0.87817,0.41771,1.09798,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,30312,0.79794,0.54231,1.15826,0.96185,0.94901,0.97297,0.77015,0.87216,0.41394,1.09277,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,31100.2,0.78318,0.52556,1.14507,0.96614,0.94624,0.97375,0.77053,0.87021,0.4123,1.09121,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,31887.2,0.7828,0.52372,1.14504,0.96484,0.95177,0.97533,0.77175,0.86764,0.40647,1.08857,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,32678.5,0.79399,0.40503,1.12599,0.96389,0.95248,0.97649,0.77532,0.85823,0.40199,1.08219,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,33466.9,0.77079,0.38829,1.11314,0.95993,0.95562,0.97676,0.77676,0.85312,0.39938,1.07754,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,34270,0.74597,0.37066,1.09711,0.96671,0.94866,0.97618,0.77815,0.84964,0.39848,1.07656,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,35106.4,0.73461,0.36597,1.08479,0.96353,0.95317,0.977,0.77935,0.84913,0.39833,1.07893,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,35945.5,0.71722,0.35317,1.07566,0.96543,0.95491,0.97761,0.78182,0.84575,0.39514,1.07829,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,36756.2,0.69946,0.34307,1.06349,0.96452,0.95226,0.97715,0.7837,0.84108,0.39312,1.07488,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,37536.5,0.68472,0.33719,1.05602,0.96787,0.95088,0.97762,0.78518,0.83691,0.39212,1.07141,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,38319.9,0.67053,0.32478,1.04583,0.96964,0.95144,0.97777,0.7861,0.83358,0.39073,1.06869,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,39100.6,0.66154,0.31823,1.04015,0.97044,0.95387,0.97778,0.78729,0.83153,0.38966,1.06746,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,39880.1,0.64431,0.30912,1.02766,0.97151,0.95317,0.97718,0.78853,0.82932,0.388,1.06536,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
